replicate,chrom,q,coverage,tau,f1,auc
57,21,-0.0280235969,0.8985507246376812,3.0,0.0,0.3055054151624549
58,13,-0.0269343718,0.9021558872305141,3.5,0.07407407407407407,0.4740508533611982
58,18,-0.0269343718,0.9021558872305141,5.0,0.0,0.6043450064850843
58,21,-0.0269343718,0.9021558872305141,3.0,0.0,0.5442048517520216
59,13,-0.025109099500000003,0.8971807628524047,3.5,0.2222222222222222,0.7125214408233277
59,18,-0.025109099500000003,0.8971807628524047,5.5,0.0,0.6515827490970895
59,21,-0.025109099500000003,0.8971807628524047,3.0,0.0,0.7461209202782236
60,13,-0.025069056199999995,0.8967851099830795,3.5,0.0,0.4269255663430421
60,18,-0.025069056199999995,0.8967851099830795,5.0,0.0,0.5652290622763064
60,21,-0.025069056199999995,0.8967851099830795,3.0,0.0,0.22409909909909909
61,13,-0.0246270668,0.8993399339933993,5.5,0.0,0.3886321626617375
61,18,-0.0246270668,0.8993399339933993,5.0,0.0,0.6007476635514019
61,21,-0.0246270668,0.8993399339933993,3.0,0.0,0.5108065953654188
62,13,-0.0266470979,0.8998357963875205,5.5,0.0,0.5562891484679194
62,18,-0.0266470979,0.8998357963875205,5.0,0.0,0.6308880308880309
62,21,-0.0266470979,0.8998357963875205,3.0,0.0,0.5581861958266453
63,13,-0.027896269,0.9035369774919614,5.0,0.0,0.4802536231884058
63,18,-0.027896269,0.9035369774919614,5.5,0.0,0.6066416040100251
63,21,-0.027896269,0.9035369774919614,3.0,0.0,0.4431159420289855
64,13,-0.0288011514,0.8972267536704731,5.5,0.0,0.46992041198501877
64,18,-0.0288011514,0.8972267536704731,5.5,0.0,0.5043197215488844
64,21,-0.0288011514,0.8972267536704731,3.0,0.0,0.23651670612996575
65,13,-0.0280636074,0.8956521739130435,5.5,0.0,0.3664829659318637
65,18,-0.0280636074,0.8956521739130435,5.0,0.0,0.5114327862806565
65,21,-0.0280636074,0.8956521739130435,3.0,0.0,0.46492985971943884
66,13,-0.025007184899999996,0.8994800693240901,3.5,0.0,0.624875745526839
66,18,-0.025007184899999996,0.8994800693240901,5.0,0.0,0.7050526315789474
66,21,-0.025007184899999996,0.8994800693240901,3.0,0.0,0.4942008486562942
67,13,-0.026887723,0.8969404186795491,5.5,0.0,0.37761377613776137
67,18,-0.026887723,0.8969404186795491,5.5,0.0,0.5291400142146411
67,21,-0.026887723,0.8969404186795491,3.0,0.0,0.26500405515004055
68,13,-0.02541519,0.9,5.5,0.0,0.5304428044280443
68,18,-0.02541519,0.9,5.5,0.0,0.5599418996731856
68,21,-0.02541519,0.9,3.0,0.0,0.44142066420664205
69,13,-0.0263404239,0.8976897689768977,5.5,0.0,0.38221024258760106
69,18,-0.0263404239,0.8976897689768977,5.5,0.0,0.539743239552035
69,21,-0.0263404239,0.8976897689768977,3.0,0.0,0.34513108614232213
70,13,-0.024338491299999997,0.8970840480274442,3.5,0.25,0.4760233918128655
70,18,-0.024338491299999997,0.8970840480274442,5.5,0.0,0.6557579206981597
70,21,-0.024338491299999997,0.8970840480274442,3.0,0.0,0.3566796368352788
71,13,-0.027164591,0.8983333333333333,5.5,0.0,0.3978805394990366
71,18,-0.027164591,0.8983333333333333,5.5,0.0,0.6003451676528601
71,21,-0.027164591,0.8983333333333333,3.0,0.0,0.4916142557651991
72,13,-0.027362641,0.8970099667774086,5.5,0.0,0.42313959804454104
72,18,-0.027362641,0.8970099667774086,5.5,0.0,0.5797779612808515
72,21,-0.027362641,0.8970099667774086,3.0,0.0,0.49194392132245235
73,13,-0.027362641,0.8971061093247589,3.5,0.25,0.5261761992619927
73,18,-0.027362641,0.8971061093247589,5.5,0.0,0.6027834008097166
73,21,-0.027362641,0.8971061093247589,3.0,0.0,0.5279304029304029
74,13,-0.026878123599999998,0.9029126213592233,5.5,0.0,0.3216280925778132
74,18,-0.026878123599999998,0.9029126213592233,5.5,0.0,0.6159851301115242
74,21,-0.026878123599999998,0.9029126213592233,3.0,0.0,0.3974452554744526
75,13,-0.028220193,0.8938640132669984,5.5,0.0,0.40654878847413234
75,18,-0.028220193,0.8938640132669984,5.5,0.0,0.5117878192534381
75,21,-0.028220193,0.8938640132669984,3.0,0.0,0.5898165717900063
76,13,-0.0278439952,0.8985024958402662,5.5,0.0,0.2743055555555556
76,18,-0.0278439952,0.8985024958402662,5.0,0.0,0.48862135922330097
76,21,-0.0278439952,0.8985024958402662,3.0,0.0,0.3821022727272728
77,13,-0.028520332,0.8925476603119584,5.5,0.0,0.4107070707070707
77,18,-0.028520332,0.8925476603119584,5.0,0.0,0.5757551020408163
77,21,-0.028520332,0.8925476603119584,3.0,0.0,0.42743085258055313
78,13,-0.026846071,0.9029605263157895,3.5,0.24,0.6131082423038728
78,18,-0.026846071,0.9029605263157895,5.5,0.0,0.5936755468919211
78,21,-0.026846071,0.9029605263157895,3.0,0.0,0.549721706864564
79,13,-0.02541519,0.8993399339933993,5.5,0.0,0.5042167404596247
79,18,-0.02541519,0.8993399339933993,5.5,0.0,0.519810977826245
79,21,-0.02541519,0.8993399339933993,3.0,0.0,0.48638066053796386
80,13,-0.025563416,0.8987341772151899,5.5,0.0,0.45736434108527135
80,18,-0.025563416,0.8987341772151899,5.5,0.0,0.6069921639541893
80,21,-0.025563416,0.8987341772151899,3.0,0.0,0.5424107142857143
81,13,-0.026039449,0.8998384491114702,5.5,0.0,0.5323493234932349
81,18,-0.026039449,0.8998384491114702,5.5,0.0,0.5891248937977911
81,21,-0.026039449,0.8998384491114702,3.0,0.0,0.48000526177321756
82,13,-0.026354002,0.901294498381877,5.5,0.0,0.4500924214417745
82,18,-0.026354002,0.901294498381877,5.5,0.0,0.6587155963302752
