sex,chrom,fpr,tpr,threshold
male,18,0.6906906906906907,0.8313253012048193,-0.083779332
male,18,0.7387387387387387,0.8313253012048193,-0.255783585
male,18,0.7387387387387387,0.8433734939759037,-0.256604253
male,18,0.7457457457457457,0.8433734939759037,-0.273474477
male,18,0.7457457457457457,0.8554216867469879,-0.27369436
male,18,0.7717717717717718,0.8554216867469879,-0.347424126
male,18,0.7717717717717718,0.8674698795180723,-0.350253493
male,18,0.8138138138138138,0.8674698795180723,-0.574685025
male,18,0.8138138138138138,0.8795180722891566,-0.583640669
male,18,0.8598598598598599,0.8795180722891566,-0.757545673
male,18,0.8598598598598599,0.891566265060241,-0.7603407
male,18,0.8768768768768769,0.891566265060241,-0.86248918
male,18,0.8768768768768769,0.9036144578313253,-0.864814897
male,18,0.8888888888888888,0.9036144578313253,-0.937623989
male,18,0.8888888888888888,0.9156626506024096,-0.941185789
male,18,0.8918918918918919,0.9156626506024096,-0.971891258
male,18,0.8918918918918919,0.927710843373494,-0.980503349
male,18,0.9029029029029029,0.927710843373494,-1.034331591
male,18,0.9029029029029029,0.9518072289156626,-1.047940903
male,18,0.9059059059059059,0.9518072289156626,-1.059620473
male,18,0.9059059059059059,0.963855421686747,-1.078618996
male,18,0.9259259259259259,0.963855421686747,-1.237564667
male,18,0.9259259259259259,0.9759036144578314,-1.239866665
male,18,0.93993993993994,0.9759036144578314,-1.350113227
male,18,0.93993993993994,0.9879518072289156,-1.351377842
male,18,0.943943943943944,0.9879518072289156,-1.409610925
male,18,0.943943943943944,1.0,-1.411193125
male,18,1.0,1.0,-3.262149334
male,21,0.0,0.041666666666666664,3.137182924
male,21,0.0,0.125,2.901822069
male,21,0.000945179584120983,0.125,2.848744033
male,21,0.000945179584120983,0.5833333333333334,2.277738619
male,21,0.001890359168241966,0.5833333333333334,2.238163227
male,21,0.001890359168241966,0.625,2.214883677
male,21,0.09829867674858223,0.625,1.255520935
male,21,0.09829867674858223,0.6666666666666666,1.254508693
male,21,0.11342155009451796,0.6666666666666666,1.188495932
male,21,0.11342155009451796,0.7083333333333334,1.184528613
male,21,0.20699432892249528,0.7083333333333334,0.776066057
male,21,0.20699432892249528,0.75,0.774894795
male,21,0.3431001890359168,0.75,0.255414038
male,21,0.3431001890359168,0.7916666666666666,0.254340425
male,21,0.4546313799621928,0.7916666666666666,-0.040445958
male,21,0.4546313799621928,0.8333333333333334,-0.044405573
male,21,0.5217391304347826,0.8333333333333334,-0.211616138
male,21,0.5217391304347826,0.875,-0.215424858
male,21,0.6361058601134215,0.875,-0.540928346
male,21,0.6361058601134215,0.9166666666666666,-0.541441946
male,21,0.6521739130434783,0.9166666666666666,-0.60715673
male,21,0.6521739130434783,0.9583333333333334,-0.608044983
male,21,0.8591682419659735,0.9583333333333334,-1.285999519
male,21,0.8591682419659735,1.0,-1.294258393
male,21,1.0,1.0,-3.289375849
