replicate,K,mean_loss,boundaries,times,valid_time_separation
32,5,0.8655953977304608,31.0|32.5|34.0|35.5,10.0|13.3|17.0|20.1|25.0,True
33,1,7.825199485765325,,18.5,True
33,2,3.8593495180934467,32.0,10.5|22.6,True
33,3,1.7044647265140094,31.5|34.5,10.0|17.3|25.0,True
33,4,1.1302727855897534,31.5|33.5|35.0,10.0|16.1|19.3|25.0,True
33,5,0.8545166165365266,31.0|32.5|33.5|35.0,10.0|13.8|16.2|19.3|25.0,True
34,1,9.094233842163874,,19.1,True
34,2,3.286910773010787,32.5,12.1|25.0,True
34,3,1.5069096345033692,31.5|34.0,10.0|16.1|25.0,True
34,4,0.9987771977300166,31.0|32.5|35.0,10.0|13.1|18.6|25.0,True
34,5,0.7283250273427503,31.0|32.0|33.5|35.5,10.0|12.6|16.0|20.5|25.0,True
35,1,9.329658989789818,,19.7,True
35,2,2.9803897846092613,32.5,11.5|25.0,True
35,3,1.6402982812671845,31.5|34.0,10.4|16.3|25.0,True
35,4,1.0070503883310729,31.0|32.5|35.0,10.0|13.1|19.1|25.0,True
35,5,0.8048917833888678,31.0|32.0|33.5|35.0,10.0|12.4|16.0|19.7|25.0,True
36,1,8.048784148462651,,18.4,True
36,2,3.300478478301094,32.0,10.7|23.1,True
36,3,1.6990935730286054,31.5|35.0,10.2|18.4|25.0,True
36,4,1.0465195957710105,31.0|32.5|35.0,10.0|13.1|18.6|25.0,True
36,5,0.8162002146069006,31.0|32.0|33.5|35.0,10.0|12.6|16.0|19.1|25.0,True
37,1,8.784919825493366,,19.3,True
37,2,3.302308557704016,32.0,10.6|24.6,True
37,3,1.5539363078122135,31.5|34.5,10.0|17.7|25.0,True
37,4,1.070028593791984,31.5|33.5|35.0,10.0|16.2|19.3|25.0,True
37,5,0.7199932008392911,31.0|32.0|33.5|35.0,10.0|12.4|16.2|19.3|25.0,True
38,1,8.491479167314674,,18.5,True
38,2,3.683632143278829,33.5,14.7|25.0,True
38,3,1.571314968866826,31.5|34.0,10.1|16.1|25.0,True
38,4,1.1616628420293946,31.5|33.5|35.5,10.1|16.0|20.3|25.0,True
38,5,0.7848491284827643,31.0|32.0|33.5|35.5,10.0|12.6|16.0|20.3|25.0,True
39,1,7.870871711157545,,17.7,True
39,2,3.7771946100590132,32.5,12.1|23.3,True
39,3,1.6510562568528606,31.5|34.5,10.2|17.4|25.0,True
39,4,1.1019739430955602,31.0|33.0|34.5,10.0|14.7|18.3|25.0,True
39,5,0.8232784780043398,31.0|32.0|33.5|35.0,10.0|12.4|16.0|18.8|25.0,True
40,1,8.625219627635632,,18.6,True
40,2,3.539176705087575,33.0,12.9|25.0,True
40,3,1.6632415210737974,31.5|35.0,10.1|18.5|25.0,True
40,4,0.9899768016831259,31.5|33.0|35.0,10.1|14.7|19.0|25.0,True
40,5,0.733390567599409,31.0|32.0|33.5|35.0,10.0|12.5|16.1|19.1|25.0,True
41,1,8.665873643110892,,18.8,True
41,2,3.318040451277458,32.5,11.1|24.8,True
41,3,1.6076988800810186,31.5|34.0,10.3|16.2|25.0,True
41,4,1.1004191943233366,31.5|33.5|35.0,10.3|16.1|19.3|25.0,True
41,5,0.7776509422360662,31.0|32.0|33.5|35.0,10.0|12.4|16.2|19.3|25.0,True
42,1,7.857891683975624,,18.5,True
42,2,3.175189222352527,32.0,10.9|22.1,True
42,3,1.85822400189116,31.5|34.5,10.4|18.2|25.0,True
42,4,1.1944310007664856,31.0|32.5|35.0,10.0|13.1|18.8|25.0,True
42,5,0.8395067695232878,31.0|32.0|33.5|35.0,10.0|12.1|16.1|19.7|25.0,True
43,1,7.583777017900853,,18.5,True
43,2,3.236372968139956,32.0,10.2|21.8,True
43,3,1.5671658005458988,31.5|35.0,10.1|18.5|25.0,True
43,4,1.0516825062754342,31.5|33.5|35.0,10.1|16.0|19.3|25.0,True
43,5,0.8316220663600276,31.0|32.5|34.0|35.0,10.0|13.6|17.3|19.7|25.0,True
44,1,8.468719023810557,,19.8,True
44,2,3.573222326823271,33.0,13.1|25.0,True
44,3,1.7833769517441496,31.5|34.0,10.4|16.3|25.0,True
44,4,1.1813612750595046,31.5|33.0|35.0,10.4|14.7|19.2|25.0,True
44,5,0.9537109657573533,31.5|32.5|34.0|35.5,10.4|13.9|16.5|20.7|25.0,True
45,1,8.502878770552618,,18.4,True
45,2,3.2509952509197637,32.5,11.5|25.0,True
45,3,1.5477499939094832,31.5|35.0,10.0|18.5|25.0,True
45,4,0.8722968411834728,31.0|33.0|35.0,10.0|14.2|19.2|25.0,True
45,5,0.6924159616190639,31.0|32.0|33.5|35.0,10.0|12.5|16.3|19.2|25.0,True
46,1,8.090768696150631,,18.3,True
46,2,3.6532403744920816,33.0,13.1|24.7,True
46,3,1.7044021655539052,31.5|34.0,10.0|16.5|25.0,True
46,4,1.1469540004831404,31.0|33.0|34.5,10.0|14.4|18.2|25.0,True
46,5,0.8801360669176507,31.0|32.5|33.5|35.5,10.0|13.9|16.2|19.7|25.0,True
47,1,8.327700655630283,,18.8,True
47,2,3.649013910381044,32.5,12.1|23.7,True
47,3,1.731497689237375,31.5|34.0,10.1|16.5|25.0,True
47,4,1.2271087689700664,31.5|33.0|35.0,10.1|15.0|19.0|25.0,True
47,5,0.8705055307516325,31.0|32.0|33.5|35.0,10.0|12.4|16.1|19.2|25.0,True
48,1,8.269281947834035,,19.1,True
48,2,3.5723986722064165,32.0,10.5|23.7,True
48,3,1.6085086435056581,31.5|35.0,10.0|18.5|25.0,True
48,4,1.0235645063323433,31.5|33.5|35.0,10.0|16.0|19.1|25.0,True
48,5,0.7651342863845381,31.0|32.5|33.5|35.0,10.0|13.1|16.2|19.1|25.0,True
49,1,7.935541981991087,,18.5,True
49,2,3.7077231626408897,32.0,10.6|22.2,True
49,3,1.6741251191450737,31.5|34.0,10.0|16.5|25.0,True
49,4,1.0653220833011277,31.0|33.0|35.0,10.0|14.7|19.1|25.0,True
49,5,0.8011501056826661,31.0|32.5|33.5|35.0,10.0|13.7|16.1|19.2|25.0,True
50,1,8.756840276144802,,18.8,True
50,2,3.6321874394249485,33.0,13.3|25.0,True
50,3,1.5127163447266423,31.5|34.0,10.1|16.2|25.0,True
50,4,0.9928495353108806,31.5|33.0|35.0,10.1|14.7|18.8|25.0,True
50,5,0.832203770653107,31.0|32.5|33.5|35.5,10.0|13.7|16.2|19.8|25.0,True
51,1,8.237254525742566,,18.6,True
51,2,3.659916949375641,32.0,10.6|23.3,True
51,3,1.6663180755147227,31.5|34.0,10.1|16.2|25.0,True
51,4,0.997935170216799,31.5|33.5|35.0,10.1|15.4|19.3|25.0,True
51,5,0.7935807563062908,31.0|32.5|33.5|35.0,10.0|13.9|16.0|19.3|25.0,True
52,1,8.420066434780033,,18.6,True
52,2,3.602386555146929,32.0,10.7|23.6,True
52,3,1.5664964951783267,31.5|34.0,10.1|16.5|25.0,True
52,4,1.177178826175817,31.0|32.5|34.5,10.0|13.0|17.4|25.0,True
52,5,0.8516709258439569,31.0|32.0|33.5|35.5,10.0|12.5|16.3|20.1|25.0,True
53,1,7.5523053082737,,16.7,True
53,2,3.3056114694325385,32.0,11.1|21.8,True
53,3,1.6495580960880363,31.5|34.0,10.5|16.5|25.0,True
53,4,1.1339815094094838,31.0|32.5|34.5,10.0|13.1|17.4|25.0,True
53,5,0.9794277356470438,30.5|31.5|33.0|34.5,10.0|11.1|14.4|18.2|25.0,True
54,1,8.488956626248148,,18.5,True
54,2,3.61231985519974,32.0,10.6|23.6,True
54,3,1.59507213062391,31.5|34.0,10.0|16.2|25.0,True
54,4,1.058726162503619,31.5|33.5|35.0,10.0|16.1|19.2|25.0,True
54,5,0.7579052020470187,31.0|32.5|33.5|35.0,10.0|13.2|16.2|19.2|25.0,True
55,1,8.347504819722701,,19.1,True
55,2,3.688775891779311,32.0,10.6|23.1,True
55,3,1.6193731753820166,31.5|34.0,10.2|16.1|25.0,True
55,4,1.1754895960492913,31.5|33.5|35.5,10.2|16.0|20.3|25.0,True
55,5,0.8460460909237066,31.0|32.0|33.5|35.5,10.0|12.4|16.0|20.3|25.0,True
56,1,8.522006430084954,,18.5,True
56,2,3.5708412579423072,32.0,10.6|23.7,True
56,3,1.5691632611839839,31.5|34.0,10.1|16.5|25.0,True
56,4,1.084901088439446,31.0|33.0|35.0,10.0|14.7|19.1|25.0,True
56,5,0.8208596054548084,31.0|32.0|33.5|35.0,10.0|12.4|16.1|19.3|25.0,True
57,1,7.6610654457956615,,18.6,True
57,2,3.2209938973379355,32.0,10.6|22.0,True
57,3,1.8037188445477566,31.5|34.5,10.2|18.1|25.0,True
57,4,1.2277689574636492,31.5|33.0|35.0,10.2|14.8|18.8|25.0,True
