level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,replicate
pregnant,18,max_risk,0,28,1,118,0.0,0.9915966386554622,0.0,0.8082191780821918,0.0,1.0,0.4876950780312125,5.5,5.0,5.5,279.0,-0.026823545,4
record,21,na,0,10,0,539,0.0,1.0,0.0,0.9817850637522769,0.0,0.8941368078175895,0.5894248608534323,3.0,3.0,3.0,120.0,-0.026823545,4
pregnant,21,conservative,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.4012345679012345,3.0,3.0,3.0,120.0,-0.026823545,4
pregnant,21,majority,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.4012345679012345,3.0,3.0,3.0,120.0,-0.026823545,4
pregnant,21,max_risk,0,12,0,135,0.0,1.0,0.0,0.9183673469387755,0.0,1.0,0.4012345679012345,3.0,3.0,3.0,120.0,-0.026823545,4
record,13,na,0,11,2,525,0.0,0.9962049335863378,0.0,0.9794776119402985,0.0,0.8951747088186356,0.4723132654821459,5.5,5.0,5.5,139.0,-0.026823545,5
pregnant,13,conservative,0,16,2,129,0.0,0.9847328244274809,0.0,0.8896551724137931,0.0,1.0,0.4437022900763359,5.5,5.0,5.5,139.0,-0.026823545,5
pregnant,13,majority,0,16,0,131,0.0,1.0,0.0,0.891156462585034,0.0,1.0,0.4437022900763359,5.5,5.0,5.5,139.0,-0.026823545,5
pregnant,13,max_risk,0,16,2,129,0.0,0.9847328244274809,0.0,0.8896551724137931,0.0,1.0,0.4437022900763359,5.5,5.0,5.5,139.0,-0.026823545,5
record,18,na,0,27,0,511,0.0,1.0,0.0,0.949814126394052,0.0,0.8951747088186356,0.5927375516416612,5.0,5.0,5.0,351.0,-0.026823545,5
pregnant,18,conservative,0,33,0,114,0.0,1.0,0.0,0.7755102040816326,0.0,1.0,0.518341307814992,5.0,5.0,5.0,351.0,-0.026823545,5
pregnant,18,majority,0,33,0,114,0.0,1.0,0.0,0.7755102040816326,0.0,1.0,0.518341307814992,5.0,5.0,5.0,351.0,-0.026823545,5
pregnant,18,max_risk,0,33,0,114,0.0,1.0,0.0,0.7755102040816326,0.0,1.0,0.518341307814992,5.0,5.0,5.0,351.0,-0.026823545,5
record,21,na,0,7,0,531,0.0,1.0,0.0,0.9869888475836431,0.0,0.8951747088186356,0.3483992467043314,3.0,3.0,3.0,84.0,-0.026823545,5
pregnant,21,conservative,0,7,0,140,0.0,1.0,0.0,0.9523809523809523,0.0,1.0,0.27755102040816326,3.0,3.0,3.0,84.0,-0.026823545,5
pregnant,21,majority,0,7,0,140,0.0,1.0,0.0,0.9523809523809523,0.0,1.0,0.27755102040816326,3.0,3.0,3.0,84.0,-0.026823545,5
pregnant,21,max_risk,0,7,0,140,0.0,1.0,0.0,0.9523809523809523,0.0,1.0,0.27755102040816326,3.0,3.0,3.0,84.0,-0.026823545,5
record,13,na,0,12,0,532,0.0,1.0,0.0,0.9779411764705882,0.0,0.8991735537190083,0.38784461152882205,5.0,5.0,5.0,153.0,-0.0274971127,6
pregnant,13,conservative,0,22,0,125,0.0,1.0,0.0,0.8503401360544217,0.0,1.0,0.4738181818181818,5.0,5.0,5.0,153.0,-0.0274971127,6
pregnant,13,majority,0,22,0,125,0.0,1.0,0.0,0.8503401360544217,0.0,1.0,0.4738181818181818,5.0,5.0,5.0,153.0,-0.0274971127,6
pregnant,13,max_risk,0,22,0,125,0.0,1.0,0.0,0.8503401360544217,0.0,1.0,0.4738181818181818,5.0,5.0,5.0,153.0,-0.0274971127,6
record,18,na,0,13,1,530,0.0,0.9981167608286252,0.0,0.9760589318600368,0.0,0.8991735537190083,0.5725047080979284,5.5,5.0,5.5,171.0,-0.0274971127,6
pregnant,18,conservative,0,25,1,121,0.0,0.9918032786885246,0.0,0.8287671232876712,0.0,1.0,0.4839344262295082,5.5,5.0,5.5,171.0,-0.0274971127,6
pregnant,18,majority,0,25,0,122,0.0,1.0,0.0,0.8299319727891157,0.0,1.0,0.4839344262295082,5.5,5.0,5.5,171.0,-0.0274971127,6
pregnant,18,max_risk,0,25,1,121,0.0,0.9918032786885246,0.0,0.8287671232876712,0.0,1.0,0.4839344262295082,5.5,5.0,5.5,171.0,-0.0274971127,6
record,21,na,0,12,2,530,0.0,0.9962406015037594,0.0,0.977859778597786,0.0,0.8991735537190083,0.5625,3.0,2.5,3.0,144.0,-0.0274971127,6
pregnant,21,conservative,0,14,2,131,0.0,0.9849624060150376,0.0,0.903448275862069,0.0,1.0,0.38506981740064444,3.0,2.5,3.0,144.0,-0.0274971127,6
pregnant,21,majority,0,14,0,133,0.0,1.0,0.0,0.9047619047619048,0.0,1.0,0.38506981740064444,3.0,2.5,3.0,144.0,-0.0274971127,6
pregnant,21,max_risk,0,14,2,131,0.0,0.9849624060150376,0.0,0.903448275862069,0.0,1.0,0.38506981740064444,3.0,2.5,3.0,144.0,-0.0274971127,6
record,13,na,0,19,4,541,0.0,0.9926605504587156,0.0,0.9660714285714286,0.0,0.9009584664536742,0.439497827136649,3.5,3.5,5.0,234.0,-0.026404649000000002,7
pregnant,13,conservative,0,14,4,129,0.0,0.9699248120300752,0.0,0.9020979020979021,0.0,1.0,0.47690655209452204,3.5,3.5,5.0,234.0,-0.026404649000000002,7
pregnant,13,majority,0,14,0,133,0.0,1.0,0.0,0.9047619047619048,0.0,1.0,0.47690655209452204,3.5,3.5,5.0,234.0,-0.026404649000000002,7
pregnant,13,max_risk,0,14,4,129,0.0,0.9699248120300752,0.0,0.9020979020979021,0.0,1.0,0.47690655209452204,3.5,3.5,5.0,234.0,-0.026404649000000002,7
