ga,group,loss,t_star
13.6,G4,19.08699044852754,19.3
13.7,G4,18.686990448527546,19.3
13.8,G4,18.286990448527536,19.3
13.9,G4,17.88699044852754,19.3
14.0,G4,17.486990448527543,19.3
14.1,G4,17.08699044852754,19.3
14.2,G4,16.686990448527546,19.3
14.3,G4,16.286990448527536,19.3
14.4,G4,15.88699044852754,19.3
14.5,G4,15.486990448527543,19.3
14.6,G4,15.086990448527542,19.3
14.7,G4,14.686990448527542,19.3
14.8,G4,14.286990448527538,19.3
14.9,G4,13.88699044852754,19.3
15.0,G4,13.486990448527541,19.3
15.1,G4,13.086990448527544,19.3
15.2,G4,12.686990448527542,19.3
15.3,G4,12.286990448527538,19.3
15.4,G4,11.88699044852754,19.3
15.5,G4,11.486990448527541,19.3
15.6,G4,11.086990448527544,19.3
15.7,G4,10.686990448527542,19.3
15.8,G4,10.286990448527538,19.3
15.9,G4,9.88699044852754,19.3
16.0,G4,9.486990448527541,19.3
16.1,G4,9.086990448527535,19.3
16.2,G4,8.686990448527542,19.3
16.3,G4,8.286990448527538,19.3
16.4,G4,7.886990448527547,19.3
16.5,G4,7.486990448527541,19.3
16.6,G4,7.086990448527536,19.3
16.7,G4,6.688037244299528,19.3
16.8,G4,6.302743126652463,19.3
16.9,G4,5.917449009005413,19.3
17.0,G4,5.5462311785436915,19.3
17.1,G4,5.196428049816029,19.3
17.2,G4,4.855251579227801,19.3
17.3,G4,4.5371324995778215,19.3
17.4,G4,4.250140607200964,19.3
17.5,G4,3.98249354837743,19.3
17.6,G4,3.714846489553897,19.3
17.7,G4,3.4566128334709605,19.3
17.8,G4,3.2036716570003683,19.3
17.9,G4,2.959186197012676,19.3
18.0,G4,2.729514658360137,19.3
18.1,G4,2.5069873178714945,19.3
18.2,G4,2.299297711599271,19.3
18.3,G4,2.1217584643541425,19.3
18.4,G4,1.963516571404133,19.3
18.5,G4,1.8322678539807011,19.3
18.6,G4,1.728816169913814,19.3
18.7,G4,1.6376396993255806,19.3
18.8,G4,1.5585687461932916,19.3
18.9,G4,1.4968040403109397,19.3
19.0,G4,1.446021769506079,19.3
19.1,G4,1.4142093095740744,19.3
19.2,G4,1.4036688282441063,19.3
19.3,G4,1.402424841117383,19.3
19.4,G4,1.4141895469997354,19.3
19.5,G4,1.4259542528820888,19.3
19.6,G4,1.4377189587644417,19.3
19.7,G4,1.4698721024144694,19.3
19.8,G4,1.5295701240000827,19.3
19.9,G4,1.600158359294199,19.3
20.0,G4,1.6707465945883175,19.3
20.1,G4,1.75447031061876,19.3
20.2,G4,1.8397644282658168,19.3
20.3,G4,1.9282523878681153,19.3
20.4,G4,2.0282523878681133,19.3
20.5,G4,2.1282523878681148,19.3
20.6,G4,2.228252387868116,19.3
20.7,G4,2.3282523878681145,19.3
20.8,G4,2.4282523878681155,19.3
20.9,G4,2.5282523878681133,19.3
21.0,G4,2.6282523878681148,19.3
21.1,G4,2.728252387868116,19.3
